"Species","Latitude","Longitude","optional"
"Mayan Cichlid",28.3524,-80.682,TRUE
"Mayan Cichlid",26.77258,-82.06235,TRUE
"Mayan Cichlid",26.4113815,-81.618598,TRUE
"Mayan Cichlid",26.2677755,-81.688896,TRUE
"Mayan Cichlid",26.3261845,-81.594644,TRUE
"Mayan Cichlid",26.3502362,-81.620643,TRUE
"Mayan Cichlid",26.70932,-81.78305,TRUE
"Mayan Cichlid",26.72008,-81.75167,TRUE
"Mayan Cichlid",26.69347,-81.82973,TRUE
"Mayan Cichlid",26.72493,-81.71695,TRUE
"Mayan Cichlid",26.72493,-81.71695,TRUE
"Mayan Cichlid",26.72493,-81.71695,TRUE
"Mayan Cichlid",26.70178,-81.83132,TRUE
"Mayan Cichlid",26.6925,-81.85423,TRUE
"Mayan Cichlid",26.68087,-81.85583,TRUE
"Mayan Cichlid",26.68923,-81.7816,TRUE
"Mayan Cichlid",26.69275,-81.7685,TRUE
"Mayan Cichlid",26.69267,-81.7654,TRUE
"Mayan Cichlid",26.69267,-81.7654,TRUE
"Mayan Cichlid",26.69267,-81.7654,TRUE
"Mayan Cichlid",26.6919,-81.75975,TRUE
"Mayan Cichlid",26.67002,-81.87605,TRUE
"Mayan Cichlid",26.4244595,-81.820448,TRUE
"Mayan Cichlid",26.7273,-81.74972,TRUE
"Mayan Cichlid",26.98583,-80.17358,TRUE
"Mayan Cichlid",27.00583,-80.12889,TRUE
"Mayan Cichlid",26.6642331,-80.6236,TRUE
"Mayan Cichlid",26.94869,-80.79658,TRUE
"Mayan Cichlid",28.07386,-80.61574,TRUE
"Mayan Cichlid",26.543,-81.92677,TRUE
"Mayan Cichlid",26.61392,-81.91722,TRUE
"Mayan Cichlid",26.72008,-81.75167,TRUE
"Mayan Cichlid",26.63917,-81.90678,TRUE
"Mayan Cichlid",26.69347,-81.82973,TRUE
"Mayan Cichlid",26.69347,-81.82973,TRUE
"Mayan Cichlid",26.68387,-81.81538,TRUE
"Mayan Cichlid",26.72493,-81.71695,TRUE
"Mayan Cichlid",26.70193,-81.79408,TRUE
"Mayan Cichlid",26.70193,-81.79408,TRUE
"Mayan Cichlid",26.68215,-81.8157,TRUE
"Mayan Cichlid",26.65175,-82.0662,TRUE
"Mayan Cichlid",26.65175,-82.0662,TRUE
"Mayan Cichlid",26.70178,-81.83132,TRUE
"Mayan Cichlid",26.64028,-81.8725,TRUE
"Mayan Cichlid",26.66032,-81.89673,TRUE
"Mayan Cichlid",26.68335,-81.85868,TRUE
"Mayan Cichlid",26.6888,-81.79105,TRUE
"Mayan Cichlid",26.68972,-81.79665,TRUE
"Mayan Cichlid",26.68923,-81.7816,TRUE
"Mayan Cichlid",26.68923,-81.7816,TRUE
"Mayan Cichlid",26.56468,-81.89615,TRUE
"Mayan Cichlid",26.57637,-81.89727,TRUE
"Mayan Cichlid",25.28942,-80.44578,TRUE
"Mayan Cichlid",25.19182,-80.63658,TRUE
"Mayan Cichlid",28.0205,-82.6562,TRUE
"Mayan Cichlid",27.32782,-80.33342,TRUE
"Mayan Cichlid",26.21472,-80.28,TRUE
"Mayan Cichlid",26.06139,-80.43445,TRUE
"Mayan Cichlid",25.4173,-80.66412,TRUE
"Mayan Cichlid",25.4173,-80.66412,TRUE
"Mayan Cichlid",25.4173,-80.66412,TRUE
"Mayan Cichlid",25.43418,-80.78024,TRUE
"Mayan Cichlid",25.43418,-80.78024,TRUE
"Mayan Cichlid",25.43418,-80.78024,TRUE
"Mayan Cichlid",25.43669,-80.69572,TRUE
"Mayan Cichlid",25.43669,-80.69572,TRUE
"Mayan Cichlid",28.20196,-81.3901,TRUE
"Mayan Cichlid",28.18617,-81.35772,TRUE
"Mayan Cichlid",26.1722222,-81.377222,TRUE
"Mayan Cichlid",26.72008,-81.75167,TRUE
"Mayan Cichlid",26.72008,-81.75167,TRUE
"Mayan Cichlid",26.69347,-81.82973,TRUE
"Mayan Cichlid",26.69347,-81.82973,TRUE
"Mayan Cichlid",26.72448,-81.70252,TRUE
"Mayan Cichlid",26.71422,-81.76572,TRUE
"Mayan Cichlid",26.6733,-81.84098,TRUE
"Mayan Cichlid",26.66182,-81.8812,TRUE
"Mayan Cichlid",26.68982,-81.84287,TRUE
"Mayan Cichlid",26.6996,-81.83413,TRUE
"Mayan Cichlid",26.56792,-82.12207,TRUE
"Mayan Cichlid",26.6925,-81.85423,TRUE
"Mayan Cichlid",26.68335,-81.85868,TRUE
"Mayan Cichlid",26.68087,-81.85583,TRUE
"Mayan Cichlid",26.68923,-81.7816,TRUE
"Mayan Cichlid",26.68923,-81.7816,TRUE
"Mayan Cichlid",26.69267,-81.7654,TRUE
"Mayan Cichlid",26.69267,-81.7654,TRUE
"Mayan Cichlid",26.69267,-81.7654,TRUE
"Mayan Cichlid",26.70658,-81.80705,TRUE
"Mayan Cichlid",26.56468,-81.89615,TRUE
"Mayan Cichlid",28.0205,-82.6562,TRUE
"Mayan Cichlid",25.41755,-80.64229,TRUE
"Mayan Cichlid",25.41755,-80.64229,TRUE
"Mayan Cichlid",25.41755,-80.64229,TRUE
"Mayan Cichlid",25.4173,-80.66412,TRUE
"Mayan Cichlid",25.4173,-80.66412,TRUE
"Mayan Cichlid",25.4173,-80.66412,TRUE
"Mayan Cichlid",25.4173,-80.66412,TRUE
"Mayan Cichlid",25.4173,-80.66412,TRUE
"Mayan Cichlid",25.4173,-80.66412,TRUE
"Mayan Cichlid",25.4173,-80.66412,TRUE
"Mayan Cichlid",25.4173,-80.66412,TRUE
"Mayan Cichlid",25.43315,-80.73468,TRUE
"Mayan Cichlid",25.43315,-80.73468,TRUE
"Mayan Cichlid",25.43418,-80.78024,TRUE
"Mayan Cichlid",25.43418,-80.78024,TRUE
"Mayan Cichlid",25.43418,-80.78024,TRUE
"Mayan Cichlid",25.43418,-80.78024,TRUE
"Mayan Cichlid",25.43418,-80.78024,TRUE
"Mayan Cichlid",25.43669,-80.69572,TRUE
"Mayan Cichlid",25.43669,-80.69572,TRUE
"Mayan Cichlid",25.43475,-80.73496,TRUE
"Mayan Cichlid",25.38241,-80.61653,TRUE
"Mayan Cichlid",25.38241,-80.61653,TRUE
"Mayan Cichlid",25.38241,-80.61653,TRUE
"Mayan Cichlid",25.38246,-80.61681,TRUE
"Mayan Cichlid",25.38252,-80.61683,TRUE
"Mayan Cichlid",25.42417,-80.65423,TRUE
"Mayan Cichlid",26.72817,-80.44183,TRUE
"Mayan Cichlid",26.72033,-80.66669,TRUE
"Mayan Cichlid",26.788525,-81.252136,TRUE
"Mayan Cichlid",26.85922,-82.05837,TRUE
"Mayan Cichlid",25.9147,-81.3617,TRUE
"Mayan Cichlid",25.9067,-81.3528,TRUE
"Mayan Cichlid",25.8881,-81.3275,TRUE
"Mayan Cichlid",26.1747,-81.2378,TRUE
"Mayan Cichlid",26.2278,-80.9203,TRUE
"Mayan Cichlid",25.9992,-81.1686,TRUE
"Mayan Cichlid",26.7029,-81.7804,TRUE
"Mayan Cichlid",26.72253,-81.72893,TRUE
"Mayan Cichlid",26.72253,-81.72893,TRUE
"Mayan Cichlid",26.72008,-81.75167,TRUE
"Mayan Cichlid",26.72008,-81.75167,TRUE
"Mayan Cichlid",26.72008,-81.75167,TRUE
"Mayan Cichlid",26.70193,-81.79408,TRUE
"Mayan Cichlid",26.6733,-81.84098,TRUE
"Mayan Cichlid",26.68215,-81.8157,TRUE
"Mayan Cichlid",26.68837,-81.81533,TRUE
"Mayan Cichlid",26.70178,-81.83132,TRUE
"Mayan Cichlid",26.67183,-81.90058,TRUE
"Mayan Cichlid",26.68087,-81.85583,TRUE
"Mayan Cichlid",26.68087,-81.85583,TRUE
"Mayan Cichlid",26.6167408,-82.059535,TRUE
"Mayan Cichlid",26.6888,-81.79105,TRUE
"Mayan Cichlid",26.68923,-81.7816,TRUE
"Mayan Cichlid",25.33565,-80.91705,TRUE
"Mayan Cichlid",28.0205,-82.6562,TRUE
"Mayan Cichlid",25.97671,-80.22282,TRUE
"Mayan Cichlid",25.83358,-81.08144,TRUE
"Mayan Cichlid",25.83358,-81.08144,TRUE
"Mayan Cichlid",25.89614,-81.21154,TRUE
"Mayan Cichlid",26.02714,-81.25594,TRUE
"Mayan Cichlid",26.72556,-81.59917,TRUE
"Mayan Cichlid",25.43315,-80.73468,TRUE
"Mayan Cichlid",25.43418,-80.78024,TRUE
"Mayan Cichlid",25.43418,-80.78024,TRUE
"Mayan Cichlid",25.43418,-80.78024,TRUE
"Mayan Cichlid",25.43418,-80.78024,TRUE
"Mayan Cichlid",25.43669,-80.69572,TRUE
"Mayan Cichlid",25.43669,-80.69572,TRUE
"Mayan Cichlid",25.43475,-80.73496,TRUE
"Mayan Cichlid",25.38236,-80.61665,TRUE
"Mayan Cichlid",25.38246,-80.61681,TRUE
"Mayan Cichlid",25.38257,-80.61684,TRUE
"Mayan Cichlid",25.38252,-80.61683,TRUE
"Mayan Cichlid",26.96510153,-80.86587203,TRUE
"Mayan Cichlid",26.2147,-80.2796,TRUE
"Mayan Cichlid",26.54979257,-82.14911098,TRUE
"Mayan Cichlid",26.85298,-82.05006,TRUE
"Mayan Cichlid",26.84869,-82.04886,TRUE
"Mayan Cichlid",26.8519,-82.0336,TRUE
"Mayan Cichlid",25.905986,-81.310646,TRUE
"Mayan Cichlid",25.9114,-81.3628,TRUE
"Mayan Cichlid",25.9647,-81.3531,TRUE
"Mayan Cichlid",25.9647,-81.3531,TRUE
"Mayan Cichlid",25.9072,-81.3664,TRUE
"Mayan Cichlid",25.9197,-81.3583,TRUE
"Mayan Cichlid",25.9247,-81.3575,TRUE
"Mayan Cichlid",25.9053,-81.3478,TRUE
"Mayan Cichlid",25.920582,-81.31056,TRUE
"Mayan Cichlid",25.8881,-81.3275,TRUE
"Mayan Cichlid",26.614006,-81.903076,TRUE
"Mayan Cichlid",26.61663,-82.05235,TRUE
"Mayan Cichlid",26.74422,-82.05966,TRUE
"Mayan Cichlid",26.754156,-82.058859,TRUE
"Mayan Cichlid",25.54353,-80.33157,TRUE
